identity_check_id,issuer_id,provider,status,level,alias_confidence,opted_in,initiated_at,completed_at,failure_reason,raw_response
289e5eff-0990-40bb-a950-ae4d576902d8,46e9bbe2-bd33-47d5-82fa-dd12ec8ac9fc,Persona,PASSED,basic,88.8,True,2025-09-07,2025-03-28,,
0aa6b3a9-b659-45a3-8396-4fba46c0d850,a10ba897-4652-4612-94d9-fd5db16d8e41,Persona,PASSED,basic,99.61,True,2025-07-01,2025-09-05,,
ff2241c4-5885-48dd-b481-b2ca6e1ae2f6,dffce299-fbe3-4be9-ab65-b2e5fcebabeb,Persona,PASSED,basic,74.92,True,2025-05-01,2025-12-05,,
4215de32-193f-4ea1-94d5-5dc8d08a9467,2dded313-0979-42d9-9d9e-54079cfda45b,Persona,PASSED,basic,90.04,True,2025-05-30,2025-05-16,,
d30a06e0-f076-4e7a-88bc-1a511a90c460,f76d953c-9ea2-4135-90ed-d416aa215f8a,Persona,PASSED,basic,87.91,True,2025-05-25,2025-07-25,,
1a2da57f-f4bf-4760-9bd3-b42059ee6163,d5fed1d4-f16f-4556-8078-a886bc584a3e,Persona,PASSED,basic,70.04,True,2025-11-04,2025-01-21,,
c243987e-6b07-4ce2-9c1d-92d39b1e8399,8c43dbaa-adad-4fc1-97aa-433738e78825,Persona,PASSED,basic,94.41,True,2025-09-24,2025-05-24,,
3ab74446-6de1-4e82-94f4-babdc39883e7,d0844210-97ff-4c9f-aa1d-7f476c615194,Persona,PASSED,basic,74.07,True,2025-08-17,2025-03-02,,
125d37c7-b6f5-4935-acbc-7b1bfedd44a3,7cd69ead-6b3f-472f-871a-283ff35ad677,Persona,PASSED,basic,75.18,True,2025-05-24,2025-12-31,,
31631668-0158-4fcf-af9e-21925d6ec945,87b1fc19-fcb4-4142-8abe-0c231b177ff5,Persona,PASSED,basic,72.57,True,2025-07-29,2025-01-19,,
a96a6cd8-8632-4c13-9dbc-40e1cbfd536a,71f810b4-b52a-4779-8357-2ff40c35cfcd,Persona,PASSED,basic,98.72,True,2025-07-27,2025-10-02,,
e956a717-1244-4806-95f5-9bf677fd1325,06dc2956-265d-4d4b-9be2-0da5ac5a6198,Persona,PASSED,basic,94.38,True,2025-04-01,2025-09-17,,
36d84577-46dc-45b7-80e8-62b30c2f468a,d5cf7408-aff5-4c4b-b825-f87d08b0112b,Persona,PASSED,basic,80.12,True,2025-11-06,2025-09-04,,
bba974ce-c981-4d3c-b2ad-8eb4ac9767ff,240d3bf0-e48e-4035-9620-976b0b884d07,Persona,PASSED,basic,77.55,True,2025-09-26,2025-02-10,,
