athlete_id,name,sport,team
1,Athlete_1,Football,Team_2
2,Athlete_2,Soccer,Team_5
3,Athlete_3,Football,Team_3
4,Athlete_4,Football,Team_8
5,Athlete_5,Basketball,Team_5
6,Athlete_6,Basketball,Team_5
7,Athlete_7,Football,Team_8
8,Athlete_8,Basketball,Team_8
9,Athlete_9,Soccer,Team_7
10,Athlete_10,Soccer,Team_5
11,Athlete_11,Basketball,Team_6
12,Athlete_12,Soccer,Team_9
13,Athlete_13,Basketball,Team_4
14,Athlete_14,Football,Team_1
15,Athlete_15,Football,Team_4
16,Athlete_16,Soccer,Team_9
17,Athlete_17,Basketball,Team_8
18,Athlete_18,Basketball,Team_5
19,Athlete_19,Soccer,Team_2
20,Athlete_20,Football,Team_4
21,Athlete_21,Soccer,Team_10
22,Athlete_22,Football,Team_4
23,Athlete_23,Basketball,Team_3
24,Athlete_24,Football,Team_7
25,Athlete_25,Soccer,Team_5
26,Athlete_26,Basketball,Team_4
27,Athlete_27,Soccer,Team_1
28,Athlete_28,Soccer,Team_2
29,Athlete_29,Football,Team_2
30,Athlete_30,Soccer,Team_10
31,Athlete_31,Football,Team_9
32,Athlete_32,Basketball,Team_2
33,Athlete_33,Football,Team_10
34,Athlete_34,Basketball,Team_6
35,Athlete_35,Football,Team_7
36,Athlete_36,Soccer,Team_2
37,Athlete_37,Football,Team_3
38,Athlete_38,Football,Team_4
39,Athlete_39,Basketball,Team_8
40,Athlete_40,Soccer,Team_6
41,Athlete_41,Football,Team_2
42,Athlete_42,Soccer,Team_1
43,Athlete_43,Football,Team_5
44,Athlete_44,Football,Team_8
45,Athlete_45,Soccer,Team_10
46,Athlete_46,Football,Team_8
47,Athlete_47,Soccer,Team_7
48,Athlete_48,Football,Team_1
49,Athlete_49,Basketball,Team_3
50,Athlete_50,Soccer,Team_3
51,Athlete_51,Football,Team_8
52,Athlete_52,Football,Team_5
53,Athlete_53,Basketball,Team_6
54,Athlete_54,Soccer,Team_8
55,Athlete_55,Football,Team_5
56,Athlete_56,Basketball,Team_8
57,Athlete_57,Football,Team_9
58,Athlete_58,Soccer,Team_10
59,Athlete_59,Football,Team_2
60,Athlete_60,Football,Team_1
61,Athlete_61,Football,Team_4
62,Athlete_62,Football,Team_5
63,Athlete_63,Basketball,Team_8
64,Athlete_64,Basketball,Team_7
65,Athlete_65,Soccer,Team_5
66,Athlete_66,Basketball,Team_3
67,Athlete_67,Basketball,Team_10
68,Athlete_68,Soccer,Team_8
69,Athlete_69,Basketball,Team_7
70,Athlete_70,Basketball,Team_2
71,Athlete_71,Soccer,Team_2
72,Athlete_72,Soccer,Team_7
73,Athlete_73,Soccer,Team_3
74,Athlete_74,Football,Team_8
75,Athlete_75,Football,Team_2
76,Athlete_76,Soccer,Team_4
77,Athlete_77,Soccer,Team_6
78,Athlete_78,Soccer,Team_9
79,Athlete_79,Football,Team_9
80,Athlete_80,Football,Team_3
81,Athlete_81,Basketball,Team_8
82,Athlete_82,Basketball,Team_3
83,Athlete_83,Soccer,Team_7
84,Athlete_84,Football,Team_10
85,Athlete_85,Football,Team_8
86,Athlete_86,Football,Team_2
87,Athlete_87,Soccer,Team_10
88,Athlete_88,Basketball,Team_1
89,Athlete_89,Soccer,Team_6
90,Athlete_90,Basketball,Team_7
91,Athlete_91,Basketball,Team_5
92,Athlete_92,Soccer,Team_5
93,Athlete_93,Basketball,Team_2
94,Athlete_94,Basketball,Team_2
95,Athlete_95,Football,Team_2
96,Athlete_96,Basketball,Team_8
97,Athlete_97,Soccer,Team_7
98,Athlete_98,Soccer,Team_7
99,Athlete_99,Basketball,Team_2
100,Athlete_100,Football,Team_5
