payment_id,recipient_id,linked_transaction_id,amount_usdc,installment_number,due_date,status,payout_tx_reference,timestamp
1,4f132eee-8532-447c-b9bd-3aa5eb0f3efa,23261,2.012374,,2026-04-01,paid,,2025-05-18
2,d1958b6d-1d0f-41c9-9e7c-0b37494fbe1f,34641,15.142485,,2026-04-01,paid,,2025-07-21
3,c8d4913a-0d7a-4f75-bdab-1fd687f03b01,15598,18.080316,,2026-04-01,paid,,2025-02-08
4,8acf429a-7e7b-4a2b-b901-d946aba9797a,23639,15.093150,,2026-04-01,paid,,2025-09-18
5,c549868e-4bc7-446a-9fd7-12687e1fed64,5094,16.017296,,2026-04-01,paid,,2025-09-13
6,ea8c53cd-ff5c-4612-a4e2-fb82f4ed208d,18205,3.014559,,2026-04-01,paid,,2025-06-01
7,17b58942-e58a-4683-90fb-3a392edf9c87,4179,9.007659,,2026-04-01,pending,,2025-04-06
8,90c23c8e-cbf7-4c3a-b345-5cdfb8dc8200,2285,10.005290,,2026-04-01,pending,,2025-12-12
9,43cacf29-47f1-4d47-a0ee-bf0b16f07677,6614,6.009384,,2026-04-01,pending,,2025-07-13
10,824b847f-d665-4647-adb2-a0053162f579,11393,15.046575,,2026-04-01,paid,,2025-11-09
11,bab0c72e-c78a-4b56-b1f8-0721fb60d683,18785,10.054050,,2026-04-01,paid,,2025-06-25
12,14aea432-2781-4e5d-9f15-82b64337f194,27004,16.110768,,2026-04-01,paid,,2025-03-03
13,0e00e77b-9ed9-4d2e-a602-17a2c29802be,45746,7.079373,,2026-04-01,paid,,2025-02-22
14,ce46f929-2c73-4751-8943-b81fcc36a08a,42782,6.067344,,2026-04-01,paid,,2025-09-28
15,ed7fced3-4a5d-4f6b-8add-28db87efb63d,3428,15.013800,,2026-04-01,pending,,2025-11-02
16,99e95129-b1d5-40c0-9682-e6fd41103f64,15071,17.067643,,2026-04-01,pending,,2025-02-26
17,ea8c53cd-ff5c-4612-a4e2-fb82f4ed208d,34437,3.029049,,2026-04-01,pending,,2025-01-28
18,cc66f875-8f94-457a-a426-aa6a347bb233,820,5.001035,,2026-04-01,pending,,2025-03-23
19,c9055eeb-03f2-46eb-9a08-4c8daf4cad2d,35735,16.162288,,2026-04-01,pending,,2025-06-05
20,78cc626d-cf7e-485f-913d-6d4a6550e385,12795,13.036478,,2026-04-01,paid,,2025-12-31
21,f9ade4b8-93d1-44cb-a5f9-29fec96aab7a,49862,6.079212,,2026-04-01,paid,,2025-06-01
22,b98d3d83-1447-420a-a54e-2711f875697c,49500,12.149316,,2026-04-01,pending,,2025-09-12
23,8ddc567f-4858-48ee-9566-aee5ce0a6490,24166,3.021045,,2026-04-01,paid,,2025-06-13
24,fe1474f7-63c9-408a-9a1f-25172f197d24,26486,9.062100,,2026-04-01,pending,,2025-01-18
25,f04f6e00-c419-44b1-83c2-3836c7e6b134,40519,2.022264,,2026-04-01,pending,,2025-04-13
26,d18ff67f-d0ec-4c0c-9874-f3d7deeb8d83,42429,14.146510,,2026-04-01,pending,,2025-07-17
27,a5f67729-f737-4a88-a3d9-1b0e34a9f93e,5614,20.030360,,2026-04-01,paid,,2025-10-09
28,3d9e0cc7-665a-4000-920a-131d94f84c39,45763,5.056695,,2026-04-01,pending,,2025-12-28
29,d1a026d4-8c37-4875-880e-c0f1ae0ec1ac,3011,10.008510,,2026-04-01,pending,,2025-01-29
30,a6d295a0-08c1-4141-b4d3-388353ef61be,35750,6.058098,,2026-04-01,paid,,2025-05-09
31,dd0e5b8b-0c7a-4008-bc71-f5e27b873512,36291,19.194465,,2026-04-01,pending,,2025-10-28
32,fbfb66c0-c04f-41e6-a942-00a69c1acb40,29190,19.142899,,2026-04-01,pending,,2025-03-19
33,8444520a-d476-4aee-9767-38dd13f69b23,36327,11.115621,,2026-04-01,paid,,2025-08-21
34,8a99f76f-cc49-459c-8cb0-185343ea59a2,43520,6.066240,,2026-04-01,paid,,2025-08-26
35,acecdc30-5d8e-464b-ab90-c8fc83a50e43,29460,8.063480,,2026-04-01,pending,,2025-08-30
36,ac98ba6a-c85f-4a49-ab90-38973e32fbe7,48029,5.064975,,2026-04-01,paid,,2025-07-04
37,0de0adbd-3f70-4eec-9406-9af875e31e54,40728,8.094024,,2026-04-01,pending,,2025-05-21
38,d081607f-9abd-4402-b81a-0ef0b94076bf,35456,8.073416,,2026-04-01,paid,,2025-02-06
39,4daf6f05-409e-479c-90d2-37fdfa9de8eb,21060,18.091494,,2026-04-01,pending,,2025-01-14
40,ed07b96e-5131-4a5c-8972-80ec2878c9ac,7175,12.024288,,2026-04-01,paid,,2025-03-25
41,c9b5487c-19a6-42c4-b63e-28ae92ea2dde,20916,7.036225,,2026-04-01,paid,,2025-03-27
42,45ec0f8a-86bd-47ec-b78b-e1765f2d3284,25033,2.014444,,2026-04-01,paid,,2025-08-24
43,ef490be3-12d2-4f9f-85b6-05f7a733592f,3481,2.002300,,2026-04-01,paid,,2025-07-31
44,259f2f43-81a3-4ea2-a5c3-b271acf15814,12238,5.016560,,2026-04-01,pending,,2025-01-23
45,a1c2e867-19ed-4e02-a866-2814917ed1d3,37449,8.087952,,2026-04-01,paid,,2025-04-19
46,c6ee021c-957d-4526-b818-be722144735e,46902,10.131560,,2026-04-01,pending,,2025-06-03
47,39415ba3-9cd2-40bc-934a-85ec35d38cd7,33615,7.068747,,2026-04-01,paid,,2025-05-11
48,f249c116-82df-4e98-8eec-ddff7bbfeb7d,346,7.000483,,2026-04-01,pending,,2025-11-03
49,1ba2d1e4-51b2-4b9c-aa76-d4dffc6d79bf,20254,7.038479,,2026-04-01,pending,,2025-03-08
50,e70c7df1-4cc4-482c-a44d-ae39033e3368,45710,18.221490,,2026-04-01,paid,,2025-05-24
51,c3712d8d-430c-420c-81e8-bfb31de3cce9,8978,12.024564,,2026-04-01,paid,,2025-07-30
52,4d366acc-b626-4e4b-9499-1bfec480e026,31313,16.131744,,2026-04-01,paid,,2025-11-21
53,3dfe9101-eefa-421d-9690-3d4e57d52fd5,22750,12.078108,,2026-04-01,paid,,2025-07-29
54,74d7c023-f6d4-4e7d-9a86-ce96e726170c,15083,16.066976,,2026-04-01,paid,,2025-03-06
55,8cdab5eb-edc7-428d-9b43-d4070c70c945,36650,7.063756,,2026-04-01,pending,,2025-02-26
56,55ba0f7a-f748-4c78-9f30-35e4e06ef9ba,49350,1.013455,,2026-04-01,paid,,2025-07-21
57,a77b1dd0-b833-43f4-86c9-054e0c7c93b7,34283,18.173052,,2026-04-01,pending,,2025-01-03
58,6c1920e7-9e71-4610-be6b-2e6f90c23224,25543,15.102810,,2026-04-01,paid,,2025-01-26
59,27e2fef8-aa78-44f8-9c7f-e3438bce8816,14385,5.022310,,2026-04-01,pending,,2025-12-08
60,cb67a134-dd95-4436-a254-d8e914dcb6cf,20079,11.056419,,2026-04-01,paid,,2025-07-13
61,4d366acc-b626-4e4b-9499-1bfec480e026,34259,16.140208,,2026-04-01,pending,,2025-09-01
62,b6788296-3510-433d-81c5-269aa5851c7e,26345,15.103155,,2026-04-01,pending,,2025-09-08
63,ce18c331-92e5-46e0-a383-f65774be6e83,26011,16.110768,,2026-04-01,pending,,2025-04-20
64,8cc26932-ab56-4716-a044-230fb47ca079,26248,16.107456,,2026-04-01,paid,,2025-01-12
65,3d024b05-b2f1-4743-8059-43e7c711f4d1,30467,20.158240,,2026-04-01,pending,,2025-07-23
66,064e2679-b95a-405f-9001-cd702297dd23,1882,15.006900,,2026-04-01,pending,,2025-08-20
67,ac98ba6a-c85f-4a49-ab90-38973e32fbe7,5928,15.020355,,2026-04-01,pending,,2025-10-25
68,06750cb9-2c21-4101-a635-7a9ea256b3f2,8814,15.032775,,2026-04-01,pending,,2025-12-03
69,c9994a29-b6e2-466a-baa2-f1cbcbe6976f,40652,13.150397,,2026-04-01,paid,,2025-03-28
70,45d08fcf-8eeb-49b1-961c-6a90d35446e1,14997,7.028336,,2026-04-01,pending,,2025-05-10
71,7985bad2-af7e-44fe-a646-6a380d77e03c,25687,15.104880,,2026-04-01,paid,,2025-04-04
72,ef0b19a8-ad94-401d-b8a8-f07824a6b75b,24656,11.074129,,2026-04-01,pending,,2025-08-04
73,8be5e020-f639-4ded-93db-3235063e2eba,48395,5.061410,,2026-04-01,pending,,2025-03-31
74,b5dba218-276f-46b7-996b-f995db90c0ff,10595,4.012512,,2026-04-01,pending,,2025-02-26
75,8dc522a0-b29b-479b-bc1c-325c0d67baee,32424,12.102672,,2026-04-01,paid,,2025-08-27
