transaction_id,token_id,buyer_id,seller_id,quantity,starting_price,ending_price,total_amount_usdc,transaction_type,swap_api_reference,original_currency,status,reversal_reason,timestamp,on_chain_tx_hash,merkle_proof_hash
1,1,8d719d77-5b9a-4eac-b0e6-9794720b6767,2d0b5472-54f6-447f-a788-6ac34ebb817f,35,1.0,1.000782,35.013685,primary,,USD,completed,,2025-02-13,,
2,1,6963c3b4-11c1-4adc-87d4-958a621b56a1,2d0b5472-54f6-447f-a788-6ac34ebb817f,37,1.000805,1.001633,37.045103,primary,,USD,completed,,2025-04-01,,
3,1,a86414b7-8135-4948-9e69-702c3bcb8b03,2d0b5472-54f6-447f-a788-6ac34ebb817f,2,1.001656,1.001679,2.003335,primary,,USD,completed,,2025-02-09,,
4,1,e6534e4f-6874-4b4c-b4c3-6751c49a9865,2d0b5472-54f6-447f-a788-6ac34ebb817f,48,1.001702,1.002783,48.10764,primary,,USD,completed,,2025-12-10,,
5,1,37cbbc1d-56a2-41fa-977d-ef6b7c0c676b,2d0b5472-54f6-447f-a788-6ac34ebb817f,46,1.002806,1.003841,46.152881,primary,,USD,completed,,2025-08-21,,
6,1,24b0fbce-2ee9-427a-b9d3-43718986fb4e,2d0b5472-54f6-447f-a788-6ac34ebb817f,35,1.003864,1.004646,35.148925,primary,,USD,completed,,2025-04-27,,
7,1,49313a89-efe1-4610-b0fe-484bea26b365,2d0b5472-54f6-447f-a788-6ac34ebb817f,15,1.004669,1.004991,15.07245,primary,,USD,completed,,2025-01-19,,
8,1,88edbd9e-bb18-412f-a2a7-b940264075e2,2d0b5472-54f6-447f-a788-6ac34ebb817f,41,1.005014,1.005934,41.224434,primary,,USD,completed,,2025-01-24,,
9,1,9eec3b28-6e69-44e1-b468-8d417f93a294,2d0b5472-54f6-447f-a788-6ac34ebb817f,48,1.005957,1.007038,48.31188,primary,,USD,completed,,2025-07-18,,
10,1,da2ee618-d778-4603-a2dd-d1d6e4831bec,2d0b5472-54f6-447f-a788-6ac34ebb817f,5,1.007061,1.007153,5.035535,primary,,USD,completed,,2025-06-13,,
11,1,8c3e6d82-d283-4482-b259-962ec920299e,2d0b5472-54f6-447f-a788-6ac34ebb817f,27,1.007176,1.007774,27.201825,primary,,USD,completed,,2025-10-02,,
12,1,5ec6f8d7-f0cd-4f64-8551-cf08d850cdd7,2d0b5472-54f6-447f-a788-6ac34ebb817f,47,1.007797,1.008855,47.391322,primary,,USD,completed,,2025-04-14,,
13,1,413d02e2-a2f0-41be-9ac7-a7c59a1dbdc7,2d0b5472-54f6-447f-a788-6ac34ebb817f,47,1.008878,1.009936,47.442129,primary,,USD,completed,,2025-05-09,,
14,1,e95e4672-051b-4727-9091-ff5935d727a1,2d0b5472-54f6-447f-a788-6ac34ebb817f,15,1.009959,1.010281,15.1518,primary,,USD,completed,,2025-08-08,,
15,1,7fcd7007-c38c-4443-9423-ba6d82d26367,2d0b5472-54f6-447f-a788-6ac34ebb817f,32,1.010304,1.011017,32.341136,primary,,USD,completed,,2025-11-07,,
16,1,efcb8dbc-4307-47aa-b02a-312537f4223a,2d0b5472-54f6-447f-a788-6ac34ebb817f,4,1.01104,1.011109,4.044298,primary,,USD,completed,,2025-01-24,,
17,1,05b1beb5-dbc2-4718-bf64-6e7b92fcc46e,2d0b5472-54f6-447f-a788-6ac34ebb817f,35,1.011132,1.011914,35.403305,primary,,USD,completed,,2025-01-20,,
18,1,635d84ec-962d-4c25-98d6-837d6747597e,2d0b5472-54f6-447f-a788-6ac34ebb817f,46,1.011937,1.012972,46.572907,primary,,USD,completed,,2025-11-28,,
19,1,0320c5ce-e898-41c2-ad0c-dc9323594254,2d0b5472-54f6-447f-a788-6ac34ebb817f,29,1.012995,1.013639,29.386193,primary,,USD,completed,,2025-02-15,,
20,1,24e714cf-33c5-4bd9-a989-177ea3d56f92,2d0b5472-54f6-447f-a788-6ac34ebb817f,28,1.013662,1.014283,28.39123,primary,,USD,completed,,2025-10-16,,
