trade_id,user_id,token_id,trade_date,quantity,price
1,1578,24,2025-10-13,1,12.29
2,1174,55,2025-02-22,7,14.83
3,215,80,2025-02-06,9,27.61
4,809,64,2025-03-31,1,25.03
5,97,37,2025-07-08,7,1.0
6,1698,24,2025-05-30,6,16.27
7,1454,95,2025-07-29,1,42.15
8,1499,44,2025-04-06,9,33.47
9,816,88,2025-03-30,5,40.42
10,351,20,2025-09-26,1,50.85
11,1489,84,2025-08-30,6,31.95
12,1455,34,2025-04-26,4,15.18
13,876,92,2025-03-12,3,35.22
14,700,37,2025-11-03,3,11.39
15,23,89,2025-11-30,10,39.82
16,7,42,2025-03-21,3,22.07
17,11,84,2025-02-05,3,33.75
18,1345,87,2025-12-06,2,40.22
19,507,45,2025-02-08,9,36.81
20,1826,47,2025-06-24,6,48.19
21,368,22,2025-03-08,10,22.44
22,1718,58,2025-08-23,3,51.73
23,1747,19,2025-02-23,9,22.82
24,401,34,2025-02-21,9,13.07
25,1592,16,2025-06-18,6,48.21
26,49,61,2025-09-19,1,35.75
27,1227,49,2025-04-30,4,14.49
28,1319,31,2025-07-21,3,16.45
29,1878,24,2025-02-11,6,20.41
30,1217,75,2025-05-01,5,31.56
31,1511,87,2025-11-29,8,41.23
32,1205,19,2025-11-09,8,21.51
33,1867,60,2025-09-21,1,36.98
34,528,23,2025-10-25,7,37.38
35,894,40,2025-07-01,9,51.13
36,1628,80,2025-12-02,10,37.82
37,579,59,2025-06-17,1,40.78
38,1580,36,2025-07-11,9,19.61
39,1472,37,2025-02-13,4,1.0
40,1096,14,2025-09-14,5,33.62
41,1408,73,2025-03-21,10,48.28
42,1316,6,2025-02-10,1,15.6
43,738,41,2025-04-27,5,52.97
44,1217,19,2025-02-27,1,22.84
45,817,27,2025-06-08,2,49.04
46,509,57,2025-02-12,6,39.25
47,59,66,2025-09-30,4,17.12
48,1307,4,2025-03-05,8,1.0
49,588,28,2025-05-30,6,33.3
50,292,66,2025-06-21,10,8.54
51,1801,22,2025-01-27,8,32.06
52,1219,83,2025-05-29,4,44.77
53,256,99,2025-12-05,5,22.41
54,154,26,2025-11-23,2,23.04
55,1172,28,2025-08-04,8,29.49
56,1851,20,2025-07-21,4,53.3
57,1947,1,2025-12-14,7,28.62
58,781,81,2025-12-17,8,15.84
59,54,91,2025-06-03,3,38.52
60,176,34,2025-03-16,1,7.86
61,646,27,2025-05-28,2,43.3
62,1234,80,2025-12-13,6,27.42
63,1855,70,2025-03-22,7,12.27
64,1595,96,2025-06-30,3,1.04
65,39,3,2025-12-29,4,21.86
66,1241,85,2025-04-23,9,41.99
67,1683,89,2025-12-27,2,38.15
68,1810,58,2025-10-17,7,45.15
69,958,52,2025-10-18,2,22.0
70,17,75,2025-12-14,3,27.98
71,1617,42,2025-10-09,1,3.27
72,910,37,2025-01-14,3,7.26
73,1406,21,2025-10-18,9,40.67
74,619,40,2025-01-31,1,56.69
75,537,76,2025-07-03,5,36.22
76,1472,50,2025-07-19,3,29.69
77,224,50,2025-07-09,5,35.48
78,146,14,2025-08-13,1,31.35
79,1541,39,2025-08-16,6,47.49
80,980,49,2025-07-01,7,16.07
81,1965,73,2025-08-10,7,44.62
82,1086,78,2025-04-11,4,27.01
83,808,36,2025-08-11,1,24.42
84,1173,29,2025-06-12,2,33.79
85,1478,39,2025-04-23,9,36.5
86,1654,51,2025-06-20,4,26.88
87,1185,1,2025-06-08,7,23.35
88,1135,5,2025-10-08,6,21.43
89,610,85,2025-10-16,3,37.63
90,376,16,2025-02-24,10,59.81
91,1016,56,2025-09-21,5,18.41
92,1042,69,2025-04-18,1,11.66
93,801,49,2025-09-04,6,15.43
94,911,91,2025-08-18,2,31.78
95,160,10,2025-12-08,5,1.04
96,1861,88,2025-03-08,7,43.06
97,936,54,2025-10-27,7,45.78
98,356,55,2025-09-11,1,10.74
99,1841,4,2025-05-23,8,11.64
100,658,97,2025-07-14,3,41.38
101,1240,38,2025-02-09,10,39.07
102,1085,11,2025-07-04,8,45.15
103,1010,53,2025-01-19,3,7.05
104,45,6,2025-10-12,9,27.37
105,496,89,2025-10-23,5,39.17
106,123,5,2025-04-30,9,14.28
107,1200,37,2025-12-07,1,10.03
108,1014,10,2025-07-13,7,1.0
109,344,36,2025-12-12,2,26.17
110,262,51,2025-07-14,8,29.32
111,218,10,2025-05-02,5,5.33
112,820,29,2025-04-13,8,38.98
113,1232,52,2025-06-05,9,24.66
114,576,47,2025-09-03,9,34.72
115,1997,10,2025-09-26,3,2.88
116,692,89,2025-05-26,1,41.58
117,704,19,2025-01-07,10,16.19
118,159,55,2025-04-02,7,2.79
119,615,55,2025-04-25,5,14.69
120,201,4,2025-02-15,1,12.73
121,1311,71,2025-06-26,4,41.75
122,1347,4,2025-01-20,9,7.65
123,819,14,2025-11-18,4,33.52
124,1997,83,2025-08-22,5,46.65
125,1229,75,2025-10-27,10,17.28
126,1685,89,2025-03-07,10,34.45
127,1237,85,2025-03-19,3,44.23
128,556,65,2025-03-04,3,24.02
129,1138,93,2025-12-23,6,9.59
130,1041,98,2025-05-05,2,10.97
131,106,82,2025-04-16,4,32.1
132,1438,19,2025-04-15,7,20.5
133,661,68,2025-06-01,2,29.58
134,333,51,2025-03-02,7,26.77
135,380,3,2025-08-27,3,16.03
136,994,62,2025-06-10,3,32.02
137,855,61,2025-12-19,7,32.78
138,377,15,2025-08-18,10,15.67
139,1359,89,2025-05-29,5,31.58
140,603,22,2025-06-09,7,25.0
141,541,92,2025-05-04,6,41.92
142,1715,97,2025-11-05,5,42.94
143,17,15,2025-07-29,8,11.89
144,105,40,2025-08-22,4,47.87
145,1710,53,2025-02-21,3,12.69
146,493,11,2025-08-07,7,39.2
147,1498,44,2025-01-03,10,44.92
148,427,39,2025-03-02,5,43.09
149,1267,68,2025-12-23,1,29.44
150,1174,96,2026-01-01,10,12.31
151,1077,74,2025-07-16,9,20.42
152,1407,32,2025-04-05,3,9.39
153,1591,98,2025-12-18,5,9.36
154,819,4,2025-03-23,7,6.05
155,1603,36,2025-09-04,8,29.43
156,1593,98,2025-07-12,8,6.52
157,731,25,2026-01-01,7,46.82
158,239,30,2025-12-18,5,29.09
159,378,63,2025-04-26,6,2.9
160,584,39,2025-01-24,5,42.79
161,1402,58,2025-06-04,10,49.59
162,1299,55,2025-01-25,5,15.29
163,1720,39,2025-06-15,7,44.3
164,374,13,2025-11-28,6,19.64
165,471,34,2025-05-05,6,5.82
166,71,61,2025-12-31,8,36.1
167,111,56,2025-02-20,1,19.6
168,1471,100,2025-08-01,6,38.55
169,1819,61,2025-04-17,3,35.62
170,224,67,2025-02-06,1,41.01
171,1618,43,2025-05-31,4,16.48
172,157,11,2025-11-18,5,57.96
173,1439,12,2025-05-08,10,25.26
174,1905,17,2025-01-08,2,48.55
175,294,48,2025-03-18,4,11.43
176,874,23,2025-08-11,6,41.69
177,661,15,2025-06-02,3,18.7
178,1606,59,2025-08-28,9,46.57
179,1094,39,2025-04-03,1,45.94
180,1583,89,2025-02-07,8,35.15
181,1538,35,2025-04-13,7,46.08
182,209,23,2025-11-08,7,33.3
183,1948,3,2025-06-19,8,5.9
184,782,78,2025-11-09,7,15.06
185,243,7,2025-07-20,7,17.4
186,1689,15,2025-09-13,10,16.37
187,1494,50,2025-09-11,7,28.88
188,1194,20,2025-11-15,9,50.65
189,385,29,2025-05-17,3,22.59
190,1958,98,2025-06-10,6,11.52
191,942,69,2025-04-24,5,1.0
192,1124,11,2025-03-26,10,53.25
193,1746,56,2025-01-25,1,10.36
194,1076,72,2025-12-30,5,10.53
195,885,30,2025-01-25,8,23.75
196,1575,58,2025-03-20,10,54.4
197,826,42,2025-10-26,3,18.04
198,877,72,2025-08-06,7,11.35
199,1455,1,2025-12-21,6,23.31
200,699,3,2025-10-30,4,18.64
201,1672,95,2025-02-05,5,40.7
202,1364,33,2025-04-13,2,19.2
203,1167,11,2025-04-09,1,57.7
204,1039,42,2025-07-27,3,18.18
205,683,48,2025-01-05,7,11.45
206,1647,89,2025-11-23,5,38.2
207,1460,50,2025-05-09,6,22.69
208,1206,71,2025-04-16,9,38.61
209,1925,94,2025-06-30,4,46.89
210,696,30,2025-10-12,7,18.72
211,1303,84,2025-11-01,8,28.82
212,1621,52,2025-08-07,3,29.68
213,589,92,2025-05-24,6,37.37
214,316,35,2025-02-22,4,34.03
215,1816,70,2025-10-21,8,16.85
216,58,8,2025-02-18,10,16.77
217,1616,29,2025-04-12,3,31.38
218,1372,57,2025-08-05,1,41.21
219,1259,71,2025-04-10,5,40.99
220,1724,68,2025-12-29,10,35.59
221,1729,49,2025-10-17,9,12.65
222,1260,63,2025-01-06,8,5.85
223,379,55,2025-03-10,5,19.41
224,1465,93,2025-12-22,5,10.35
225,1388,88,2025-01-05,8,41.97
226,80,96,2025-03-31,1,10.02
227,447,98,2025-06-07,4,1.25
228,1324,34,2025-11-12,3,19.98
229,839,64,2025-09-26,9,23.74
230,138,18,2025-07-20,7,6.96
231,858,1,2025-12-25,7,23.51
232,1565,43,2025-03-31,2,22.64
233,1689,10,2025-03-03,10,1.0
234,1869,93,2025-05-07,7,19.61
235,366,17,2025-07-18,7,40.6
236,525,79,2025-03-22,2,37.73
237,1160,93,2025-01-27,8,16.9
238,1492,55,2025-06-28,10,11.84
239,1018,38,2025-11-03,10,50.98
240,1752,70,2025-11-19,8,13.57
241,841,11,2025-11-28,10,53.68
242,1650,33,2025-12-07,7,4.28
243,398,28,2025-01-12,6,33.73
244,1933,5,2025-09-14,8,17.95
245,1770,29,2025-12-03,7,34.51
246,1845,99,2025-08-22,2,22.43
247,1131,51,2025-08-23,8,28.14
248,1167,48,2025-02-02,7,11.54
249,1609,68,2025-12-22,8,26.76
250,1033,85,2025-09-10,8,38.8
251,1944,77,2025-09-27,7,46.32
252,436,70,2025-05-08,3,13.06
253,555,59,2025-08-15,6,29.27
254,1157,55,2025-01-09,9,15.08
255,448,38,2025-03-18,5,43.42
