identity_check_id,issuer_id,provider,status,level,alias_confidence,opted_in,initiated_at,completed_at,failure_reason,raw_response
a30c1546-4aab-4adb-9e07-e3d78570e2be,ccaea7d9-bae4-47f5-934a-9cc912f86701,Persona,PASSED,basic,84.56,True,2025-11-19,2025-12-07,,
b5ccbe63-47ac-413a-bb0c-07f34c8a54c5,829f67cb-4b53-42f3-822d-84227f11f94e,Persona,PASSED,basic,77.0,True,2025-09-30,2025-06-02,,
a2162a73-6b0d-43d3-8ae3-bab242488881,10c0959e-d7e3-4da3-9f28-cafc526c28b5,Persona,PASSED,basic,94.01,True,2025-10-20,2025-05-01,,
ef114f5f-a4e0-4f2b-8cf4-f1c357d7fa4d,abdae7df-e802-47e4-8400-48341e3b9e8f,Persona,PASSED,basic,98.12,True,2025-04-29,2025-06-03,,
65fa37a7-08ba-4622-8f8c-9d4c7baae7b4,a8f13cbb-81c1-499a-ba4b-988768d4281d,Persona,PASSED,basic,71.86,True,2025-08-17,2025-04-16,,
91a8b407-84ed-4aa3-85de-7a3a680ab9a2,5dd3a85c-70b2-4584-a0a6-52171633dbf7,Persona,PASSED,basic,89.48,True,2025-06-24,2025-04-27,,
b544c4a4-4e14-4fb9-8c03-70347d305416,a42957b6-91a0-49c0-836f-05439a624721,Persona,PASSED,basic,91.9,True,2025-11-15,2025-03-09,,
67c1984d-1683-42f7-b2bb-2697bc84ba17,64c44d8a-9d6b-4168-9f7e-a59f3f80b9b8,Persona,PASSED,basic,71.2,True,2025-10-29,2025-01-27,,
ede352ab-b832-4f9c-bbc5-0d4a564ae392,f2b881ca-e228-45ad-a69e-185071b0255c,Persona,PASSED,basic,94.67,True,2025-05-23,2025-07-24,,
86fc4b62-42d4-4932-af6c-60808c9d04f8,dbceae64-37c9-4e4d-81d9-82a1a861eaf3,Persona,PASSED,basic,84.03,True,2025-02-12,2025-11-30,,
facce459-786e-4de2-abb7-4c5d3855714a,f2d2673f-88a0-42f2-be7d-5bd6004176c9,Persona,PASSED,basic,73.39,True,2025-12-31,2025-02-12,,
4867231b-eb22-4734-a49e-72f6d91ad669,cfad6fe9-7082-47f8-88a9-c7b9b31ef901,Persona,PASSED,basic,89.21,True,2025-10-28,2025-12-25,,
a8976666-78bf-4734-8be7-60d940daf05c,e0911e54-1a3c-4e22-8223-9eb125eb2cf8,Persona,PASSED,basic,74.42,True,2025-10-24,2025-07-01,,
df23b1fe-2fc6-42eb-8d66-2c050906a45f,6f669229-28ce-4a74-9e60-29706f71744a,Persona,PASSED,basic,76.04,True,2025-07-25,2025-08-03,,
dda3fef1-213a-4e3a-8f0c-a04f9f796d33,4e945ece-02ac-4e1c-8785-3c1980fe6195,Persona,PASSED,basic,78.51,True,2025-06-29,2025-07-27,,
7b296f4c-65fc-455c-a95c-63b8149950c8,2bb7d841-fb8f-40bb-9009-bb63ffab9528,Persona,PASSED,basic,76.51,True,2025-06-13,2025-03-27,,
5af71620-fc05-4b4e-a64c-252b4bb6dd92,091a660b-d893-4d01-8e2a-213d44517cd4,Persona,PASSED,basic,71.63,True,2025-05-23,2025-06-14,,
ba46a885-a181-45a9-b516-2b334fbceac6,9949e21a-9642-440b-a221-1f36996c5a21,Persona,PASSED,basic,90.13,True,2025-02-04,2025-04-03,,
4851359b-d7bc-4482-b1a3-f5cf1a885847,c0a59b98-2b64-4af9-b55b-a8e95edee24f,Persona,PASSED,basic,76.54,True,2025-08-14,2025-07-26,,
8efad9c8-0a22-4a2f-9c52-0a9d48c1095f,f6e4eac4-b04b-4924-9b8a-4e1b9cc7cd34,Persona,PASSED,basic,83.81,True,2025-08-12,2025-12-10,,
34bdfcbb-c255-42f9-b1b0-c6a8bad4f6b0,8dc6b418-614c-41b2-8349-698450f8a790,Persona,PASSED,basic,78.01,True,2025-08-15,2025-01-10,,
f15e806a-3b71-4ab8-bc8e-8c87a33293eb,647b40fd-7668-4e02-a56d-33e43a229476,Persona,PASSED,basic,83.22,True,2025-04-18,2025-01-01,,
3819fadc-64c7-46b8-81da-9ffd26f9b331,d8cfee6d-5580-4851-80ee-f5417972dcb1,Persona,PASSED,basic,96.51,True,2025-08-22,2025-07-04,,
b36fee2c-c14a-4ccd-9542-f63bf0d84b8d,aba5be12-b515-4d62-816b-d8c1db2211e6,Persona,PASSED,basic,99.37,True,2025-09-24,2025-07-21,,
29fc5610-09dc-45dd-b748-3ae7a7483cd2,5f08e39d-a1b7-4f24-b1e4-0ad14cc585a9,Persona,PASSED,basic,77.66,True,2025-03-06,2025-02-19,,
73a7d1c1-7f34-437e-8638-28eb9fc0d9b9,63f62047-0e35-4391-b1ce-3bdbfb4ac257,Persona,PASSED,basic,75.51,True,2025-05-01,2025-01-17,,
13be9495-99c1-40f3-82f0-52845444cf10,d7b5b786-e157-430c-9b39-34d7dc3750a9,Persona,PASSED,basic,74.23,True,2025-01-14,2025-01-20,,
975d40b0-c4ab-4058-8ee4-94dddf0afee3,0cc77338-9a14-4b8b-815b-af84c251d964,Persona,PASSED,basic,72.54,True,2025-03-01,2025-05-07,,
8761b34e-e89f-4f4c-8d68-34e547d5d4b9,98f84972-7a47-4b62-a782-966fe6184928,Persona,PASSED,basic,90.48,True,2025-01-29,2025-03-11,,
4a85aca3-4cd1-4a53-92c3-44496c8f88b6,22c79293-5104-4cd4-949a-ed45886902c9,Persona,PASSED,basic,82.63,True,2025-10-20,2025-09-12,,
4fe75cf0-e76d-445c-9118-fb561898c11a,6b9c5bd0-79e1-4f6b-8e55-0e1974bcbd6b,Persona,PASSED,basic,87.42,True,2025-08-17,2025-04-11,,
d21d9581-bc2d-4bd2-b613-acbf2285a6f0,3a640c34-0965-4e1e-a760-612a0899f2e5,Persona,PASSED,basic,82.27,True,2025-11-04,2025-07-28,,
2d500c4d-1a7f-4879-adfe-14ddbcd1f048,994b9788-d908-4e64-9f4f-32354e4cb05b,Persona,PASSED,basic,86.77,True,2025-02-06,2025-03-16,,
c0e863b8-8954-47fe-9d0d-b0c06f66e76a,1754e0cf-3cb5-4d3e-b675-4f072f520de3,Persona,PASSED,basic,97.59,True,2026-01-01,2025-12-28,,
cebd5b77-583b-4291-89af-d6a6fce0aa89,e22162a4-e937-430e-9559-4e2fe1754607,Persona,PASSED,basic,72.19,True,2025-10-20,2025-08-26,,
606b9cfb-1cc7-4898-b875-2f24f9badc4b,6ecb086e-4a12-4871-8621-1e6d0e027cce,Persona,PASSED,basic,91.92,True,2025-12-20,2025-09-27,,
1a791a2e-f25e-499f-8f46-b12b894cdb2f,426b59fd-2c6d-48a4-a8ab-da72c6f63a96,Persona,PASSED,basic,82.23,True,2025-02-01,2025-04-30,,
ca474ae5-2982-43c3-8836-8270d74f9696,e4209382-094c-4547-9a24-6df239aa0ca8,Persona,PASSED,basic,99.75,True,2025-11-17,2025-06-24,,
36936b4f-1f0b-4932-965b-505644583ffb,3c00515b-a19a-4535-8f78-815c4e7b1bfd,Persona,PASSED,basic,86.32,True,2025-07-23,2025-08-03,,
37adcf35-8323-4c58-a77b-e8c6ebeef91f,ef64ce8d-b2c1-4956-b230-e917dfab193a,Persona,PASSED,basic,93.28,True,2025-04-09,2025-04-06,,
e2559edb-44e9-4036-901e-374d10629ffa,54f17d67-9c81-4ec4-9968-fd9c3118a23f,Persona,PASSED,basic,92.66,True,2025-01-17,2025-06-23,,
21151f6b-d018-40d1-bf64-91eded65c54d,87833cac-5dd3-46da-8cae-3c3648a79b14,Persona,PASSED,basic,92.0,True,2025-03-02,2025-09-16,,
0e0c3510-60de-44d5-9e17-48b36d0cdee5,395501ee-a08a-467b-ac6f-ba8e05e763d5,Persona,PASSED,basic,91.78,True,2025-11-04,2025-05-09,,
34166e9e-bace-48b9-801f-b493d463e2d3,108f2bec-7e12-4d79-86fa-843506e42a82,Persona,PASSED,basic,79.49,True,2025-11-28,2025-10-02,,
e2d42036-8a5a-434f-b8b4-f592a434f652,b0ca7826-7f38-425b-9cfb-42b6b7cbce79,Persona,PASSED,basic,99.53,True,2025-12-17,2025-06-16,,
80a8ecce-a33d-49c5-8fd6-8d0279cad330,12217513-69b8-4046-b52f-e26c2dae9d18,Persona,PASSED,basic,94.79,True,2025-08-06,2025-02-25,,
9d6c4fdd-645c-4cb7-9a06-de34f3c9c80c,258e8201-f5d1-4d29-85f8-60d0019ee2df,Persona,PASSED,basic,88.76,True,2025-04-01,2025-05-14,,
8054fb1a-31d2-454f-9f32-f8209426425c,44e10f34-d034-4fad-960c-d0a99ae24fda,Persona,PASSED,basic,99.0,True,2025-01-17,2025-06-01,,
