issuer_id,raise_target_usd,token_supply_goal,enable_referrals,notification_prefs,created_at,updated_at,metadata
ccaea7d9-bae4-47f5-934a-9cc912f86701,189903,327182,False,,2025-07-20,,
829f67cb-4b53-42f3-822d-84227f11f94e,706155,295762,False,,2025-08-12,,
10c0959e-d7e3-4da3-9f28-cafc526c28b5,49297,476428,False,,2025-08-22,,
abdae7df-e802-47e4-8400-48341e3b9e8f,450650,853035,False,,2025-04-23,,
a8f13cbb-81c1-499a-ba4b-988768d4281d,408579,978318,False,,2025-12-19,,
5dd3a85c-70b2-4584-a0a6-52171633dbf7,413095,417496,False,,2025-05-03,,
a42957b6-91a0-49c0-836f-05439a624721,907148,290630,False,,2025-12-27,,
64c44d8a-9d6b-4168-9f7e-a59f3f80b9b8,298770,111368,False,,2025-10-03,,
f2b881ca-e228-45ad-a69e-185071b0255c,704689,908310,False,,2025-03-24,,
dbceae64-37c9-4e4d-81d9-82a1a861eaf3,135061,390232,False,,2025-08-29,,
f2d2673f-88a0-42f2-be7d-5bd6004176c9,853457,438796,False,,2025-02-27,,
cfad6fe9-7082-47f8-88a9-c7b9b31ef901,477322,899714,False,,2025-03-06,,
e0911e54-1a3c-4e22-8223-9eb125eb2cf8,873431,188504,False,,2025-01-04,,
6f669229-28ce-4a74-9e60-29706f71744a,771940,553074,False,,2025-08-15,,
4e945ece-02ac-4e1c-8785-3c1980fe6195,533347,897439,False,,2025-09-24,,
2bb7d841-fb8f-40bb-9009-bb63ffab9528,271461,253404,False,,2025-01-27,,
091a660b-d893-4d01-8e2a-213d44517cd4,749634,363788,False,,2025-03-21,,
9949e21a-9642-440b-a221-1f36996c5a21,988464,255222,False,,2025-05-12,,
c0a59b98-2b64-4af9-b55b-a8e95edee24f,352557,888132,False,,2025-10-19,,
f6e4eac4-b04b-4924-9b8a-4e1b9cc7cd34,186164,718547,False,,2025-04-07,,
8dc6b418-614c-41b2-8349-698450f8a790,587960,737325,False,,2025-03-12,,
647b40fd-7668-4e02-a56d-33e43a229476,689098,508440,False,,2025-04-21,,
d8cfee6d-5580-4851-80ee-f5417972dcb1,996530,857903,False,,2025-04-11,,
aba5be12-b515-4d62-816b-d8c1db2211e6,423213,470984,False,,2025-07-08,,
5f08e39d-a1b7-4f24-b1e4-0ad14cc585a9,625493,664989,False,,2025-10-02,,
63f62047-0e35-4391-b1ce-3bdbfb4ac257,818617,392297,False,,2025-04-04,,
d7b5b786-e157-430c-9b39-34d7dc3750a9,467498,737176,False,,2025-03-25,,
0cc77338-9a14-4b8b-815b-af84c251d964,563364,978220,False,,2025-06-07,,
98f84972-7a47-4b62-a782-966fe6184928,303764,591926,False,,2025-01-11,,
22c79293-5104-4cd4-949a-ed45886902c9,751271,748382,False,,2025-08-10,,
6b9c5bd0-79e1-4f6b-8e55-0e1974bcbd6b,875670,874038,False,,2025-07-07,,
3a640c34-0965-4e1e-a760-612a0899f2e5,857562,853701,False,,2025-12-09,,
994b9788-d908-4e64-9f4f-32354e4cb05b,560310,683891,False,,2025-06-06,,
1754e0cf-3cb5-4d3e-b675-4f072f520de3,656778,178425,False,,2025-06-20,,
e22162a4-e937-430e-9559-4e2fe1754607,152415,993175,False,,2025-04-03,,
6ecb086e-4a12-4871-8621-1e6d0e027cce,12660,109066,False,,2025-08-17,,
426b59fd-2c6d-48a4-a8ab-da72c6f63a96,368361,111555,False,,2025-02-22,,
e4209382-094c-4547-9a24-6df239aa0ca8,814081,310626,False,,2025-04-14,,
3c00515b-a19a-4535-8f78-815c4e7b1bfd,382423,669399,False,,2025-02-15,,
ef64ce8d-b2c1-4956-b230-e917dfab193a,19012,975776,False,,2025-03-16,,
54f17d67-9c81-4ec4-9968-fd9c3118a23f,641151,830776,False,,2025-01-17,,
87833cac-5dd3-46da-8cae-3c3648a79b14,695111,586141,False,,2025-10-09,,
395501ee-a08a-467b-ac6f-ba8e05e763d5,657444,626909,False,,2025-08-18,,
108f2bec-7e12-4d79-86fa-843506e42a82,737483,303804,False,,2025-05-14,,
b0ca7826-7f38-425b-9cfb-42b6b7cbce79,153742,135469,False,,2025-02-21,,
12217513-69b8-4046-b52f-e26c2dae9d18,802067,277765,False,,2025-09-27,,
258e8201-f5d1-4d29-85f8-60d0019ee2df,939967,717137,False,,2025-10-13,,
44e10f34-d034-4fad-960c-d0a99ae24fda,364436,494679,False,,2025-03-10,,
d000c22a-bb6b-4dab-93ee-56dc79c68aaf,370558,940455,False,,2025-09-23,,
ac3242d2-290b-4a00-9490-0ff80ce2f109,178266,209355,False,,2025-05-22,,
916e4622-a5b3-490b-80bc-626f879e73d2,509317,877313,False,,2025-06-20,,
1bbe744f-6034-440c-a71e-e0e586f7fb4c,971083,225712,False,,2025-08-31,,
e033eebe-6ad7-49a0-85b5-3eccefb15a4e,87693,510211,False,,2025-06-16,,
76b88e24-e0aa-41f4-8b1c-20e93de664bd,903026,462111,False,,2025-03-23,,
5d14ea89-31dc-4046-9841-0afab8db69cc,883237,165878,False,,2025-02-13,,
4bc6e72a-aa27-42e1-8930-697e22505263,851710,173378,False,,2025-06-14,,
a2795f07-de58-4fdd-9f3e-c246315cba66,217854,780078,False,,2025-12-21,,
9e9cf675-32fb-4649-a9f0-adae7d298ba9,775374,250387,False,,2025-02-09,,
a9efc097-ee8b-49b4-b9ae-a44f95bb4525,472220,415248,False,,2025-05-12,,
bd5dadb2-3ce6-4757-8cb9-2d4767c03ed4,359203,416961,False,,2025-08-10,,
3c0887d0-48d7-48af-ae6e-237b288f4f4e,341373,375471,False,,2025-09-05,,
27b5a460-4702-42d8-a3f4-460e12c4fcf2,146535,931612,False,,2025-11-10,,
9f80d010-8e02-437b-851c-20eee94e3aec,577400,964700,False,,2025-11-29,,
8f84cc1e-a4a6-4e70-95fd-8b406157bfd8,669861,737178,False,,2025-12-14,,
51d3de30-71cc-4a33-9737-5db948a43287,542861,933696,False,,2025-01-01,,
