social_verif_id,issuer_id,platform,handle,followers_count,verified,initiated_at,completed_at,attempts,status,metadata
d9bdad9c-21fa-443c-82e6-31b9268a6848,ccaea7d9-bae4-47f5-934a-9cc912f86701,X,x_4648,391184,True,2025-12-16,2025-03-28,3,PASSED,
fd2c84c4-f73a-4a81-84a5-2347404b4e10,829f67cb-4b53-42f3-822d-84227f11f94e,YOUTUBE,youtube_4191,367657,True,2025-09-22,2025-10-06,2,PASSED,
e97c9490-1c50-4f0b-92a7-b797cb861b54,10c0959e-d7e3-4da3-9f28-cafc526c28b5,INSTAGRAM,instagram_3473,818353,True,2025-09-13,2025-01-08,2,PASSED,
cf4d8cfb-83bc-403a-b7cd-6b52377b04f2,abdae7df-e802-47e4-8400-48341e3b9e8f,YOUTUBE,youtube_3856,96660,True,2025-01-10,2025-01-30,1,PASSED,
6d00dbfa-5fa0-4ef4-a707-0d5c758011ba,a8f13cbb-81c1-499a-ba4b-988768d4281d,X,x_6721,412893,True,2025-02-05,2025-06-11,3,PASSED,
47c4fcb3-94cb-4ed7-9627-13844e2de4bf,5dd3a85c-70b2-4584-a0a6-52171633dbf7,YOUTUBE,youtube_8440,116614,True,2025-02-28,2025-05-30,3,PASSED,
0077706c-23d1-42dc-8e2a-73d8b2c0b4d9,a42957b6-91a0-49c0-836f-05439a624721,INSTAGRAM,instagram_8722,982397,True,2025-08-17,2025-03-26,2,PASSED,
95b66556-72b6-4b49-807f-78ef4d96731e,64c44d8a-9d6b-4168-9f7e-a59f3f80b9b8,YOUTUBE,youtube_1497,679660,True,2025-07-31,2025-08-03,3,PASSED,
4bd5b5ed-6885-4f89-9476-8e45957a0578,f2b881ca-e228-45ad-a69e-185071b0255c,YOUTUBE,youtube_8222,852060,True,2025-05-27,2025-06-19,3,PASSED,
15f5ca20-0ce3-4f4c-b663-a4f943a6ebcf,dbceae64-37c9-4e4d-81d9-82a1a861eaf3,YOUTUBE,youtube_5683,758555,True,2025-12-19,2025-04-26,3,PASSED,
85b5eda4-a418-4720-b559-648d3e415acc,f2d2673f-88a0-42f2-be7d-5bd6004176c9,INSTAGRAM,instagram_7822,411373,True,2025-10-16,2025-03-14,1,PASSED,
baed8002-67f1-4f37-a128-7b4888c39b20,cfad6fe9-7082-47f8-88a9-c7b9b31ef901,INSTAGRAM,instagram_5839,259601,True,2025-03-10,2025-04-06,3,PASSED,
64e2d58b-9293-440f-b46c-da965046ce14,e0911e54-1a3c-4e22-8223-9eb125eb2cf8,YOUTUBE,youtube_8192,628567,True,2025-03-02,2025-03-16,3,PASSED,
dde9c75a-a984-41fb-bc69-d58568a9120d,6f669229-28ce-4a74-9e60-29706f71744a,X,x_5483,438158,True,2025-10-04,2025-10-21,2,PASSED,
feedd98e-d8dc-4f69-9d05-44c3ef1054b3,4e945ece-02ac-4e1c-8785-3c1980fe6195,INSTAGRAM,instagram_6627,663566,True,2025-04-22,2025-12-04,2,PASSED,
ad40223c-f099-43a8-9bb1-2b1e9f004e1f,2bb7d841-fb8f-40bb-9009-bb63ffab9528,YOUTUBE,youtube_3451,769626,True,2025-12-27,2025-08-01,1,PASSED,
67e99afc-1227-47a5-9407-56a5bce86875,091a660b-d893-4d01-8e2a-213d44517cd4,INSTAGRAM,instagram_3362,376050,True,2025-02-23,2025-02-09,2,PASSED,
7af5faa5-3d0e-420a-9b53-7220f2a6c3c5,9949e21a-9642-440b-a221-1f36996c5a21,INSTAGRAM,instagram_1390,483668,True,2025-08-23,2025-01-31,1,PASSED,
