token_id,issuer_id,token_symbol,initial_supply,current_supply_minted,mint_timestamp,paused_sales,secondary_trading_enabled,created_at,updated_at,total_sold,total_revenue,current_price
1,aba5be12-b515-4d62-816b-d8c1db2211e6,TOKEN_3161,763959,0,2025-02-18,False,False,2025-07-28,2025-09-16,11878.0,13500.362569,1.273194
2,3d2b4647-e8df-4641-ac91-a3667baa05f0,TOKEN_3778,908159,0,2025-01-10,False,False,2025-08-17,2025-12-17,20644.0,25544.772058,1.474812
3,418b373f-5120-4696-81af-3d7329e4e206,TOKEN_5628,908717,0,2025-06-28,False,False,2025-09-29,2025-08-07,5872.0,6268.456888,1.135056
4,7f8752cd-377e-408b-adc8-88ea1072d16f,TOKEN_1100,831341,0,2025-11-27,False,False,2025-08-07,2025-08-04,7305.0,7918.59078,1.168015
5,5c41fcad-6253-4ee0-a559-f1aeca71dad4,TOKEN_5399,676559,0,2025-08-06,False,False,2025-12-05,2025-10-16,13281.0,15309.27432,1.305463
6,87833cac-5dd3-46da-8cae-3c3648a79b14,TOKEN_6510,642313,0,2025-09-04,False,False,2025-07-06,2025-12-02,12692.0,14544.352978,1.291916
7,76b88e24-e0aa-41f4-8b1c-20e93de664bd,TOKEN_2486,552297,0,2025-05-28,False,False,2025-04-17,2025-03-17,4602.0,4845.498723,1.105846
8,4e945ece-02ac-4e1c-8785-3c1980fe6195,TOKEN_5646,589994,0,2025-09-08,False,False,2025-12-20,2025-09-29,12494.0,14289.006733,1.287362
9,356cc07a-a2e7-4fc0-8860-2439157cdb33,TOKEN_1120,951625,0,2025-12-04,False,False,2025-12-24,2025-11-07,13813.0,16007.029294,1.317699
10,ebbf8db9-01cf-427e-b7a1-a78ded40dd53,TOKEN_3305,514673,0,2025-08-12,False,False,2025-07-04,2025-03-03,28189.0,37326.802618,1.648347
11,50cc68d3-71f1-49ca-9ec3-4dbc97194b76,TOKEN_1817,488173,0,2025-04-22,False,False,2025-01-26,2025-10-16,4534.0,4770.355153,1.104282
12,d1664d62-663d-4b1a-a071-d6dfbd4eb758,TOKEN_1529,630502,0,2025-09-29,False,False,2025-09-29,2025-02-13,30328.0,40905.208444,1.697544
13,bd5dadb2-3ce6-4757-8cb9-2d4767c03ed4,TOKEN_1395,616586,0,2025-01-25,False,False,2025-11-12,2025-09-20,32673.0,44949.160944,1.751479
14,10c0959e-d7e3-4da3-9f28-cafc526c28b5,TOKEN_8500,802381,0,2025-04-06,False,False,2025-01-23,2025-11-01,31397.0,42733.012438,1.722131
15,a42957b6-91a0-49c0-836f-05439a624721,TOKEN_1729,807639,0,2025-04-02,False,False,2025-02-26,2025-08-18,15791.0,18658.408735,1.363193
16,3be52f7f-9490-46a2-9372-757fe9f0d896,TOKEN_1719,886478,0,2025-01-13,False,False,2025-04-07,2025-07-24,36563.0,51936.388669,1.840949
17,9f80d010-8e02-437b-851c-20eee94e3aec,TOKEN_9754,128554,0,2025-05-07,False,False,2025-07-16,2025-03-25,8442.0,9261.477603,1.194166
18,578a7055-af2c-4026-ac7f-1f7e22a5a42e,TOKEN_9496,494361,0,2025-03-03,False,False,2025-12-01,2025-01-19,11057.0,12462.831208,1.254311
19,7092dcd6-71f4-4e3c-ba36-83c7afe4b27f,TOKEN_4419,966389,0,2025-06-13,False,False,2025-06-14,2025-01-19,8452.0,9273.420298,1.194396
20,647b40fd-7668-4e02-a56d-33e43a229476,TOKEN_8584,600096,0,2025-03-07,False,False,2025-11-23,2025-02-14,10496.0,11762.78848,1.241408
21,27b5a460-4702-42d8-a3f4-460e12c4fcf2,TOKEN_3341,543431,0,2025-09-27,False,False,2025-12-24,2025-10-22,0.0,0.0,1.0
22,ad10c260-9f2b-4185-baff-43c6bf249811,TOKEN_8700,608636,0,2025-11-06,False,False,2025-12-17,2025-01-02,32158.0,44050.205269,1.739634
23,2741ac32-87fb-419d-baa8-ea9a4a13559f,TOKEN_9638,294440,0,2025-11-25,False,False,2025-10-05,2025-06-27,37635.0,53923.089285,1.865605
24,05c833ae-9c4d-495f-a743-c23cde6e0d83,TOKEN_3280,683559,0,2025-04-23,False,False,2025-05-04,2025-11-05,11176.0,12612.2557,1.257048
25,6836b37a-9b7c-48d5-94b0-eedd71616ac0,TOKEN_3954,809292,0,2025-08-25,False,False,2025-09-15,2025-06-25,0.0,0.0,1.0
26,7ae93e53-a178-47fb-ad5f-cbc716dd595b,TOKEN_9115,637230,0,2025-03-04,False,False,2025-12-27,2025-09-05,0.0,0.0,1.0
27,a8fdc3f2-de29-4ccd-81e7-2cf9660eb4ca,TOKEN_4743,697746,0,2025-10-01,False,False,2025-11-01,2025-02-24,5549.0,5903.037298,1.127627
28,f2d2673f-88a0-42f2-be7d-5bd6004176c9,TOKEN_8500,805161,0,2025-04-25,False,False,2025-04-23,2025-05-30,8949.0,9869.869998,1.205827
29,3a640c34-0965-4e1e-a760-612a0899f2e5,TOKEN_1377,603981,0,2025-11-11,False,False,2025-04-23,2025-06-13,3014.0,3118.433593,1.069322
30,5bf27cab-4c7f-4cb0-b1ca-2b0c90393976,TOKEN_7526,825935,0,2025-11-07,False,False,2025-10-18,2025-06-08,22684.0,28601.223478,1.521732
31,8dc6b418-614c-41b2-8349-698450f8a790,TOKEN_4450,732754,0,2025-06-07,False,False,2025-06-04,2025-01-17,7831.0,8536.142395,1.180113
32,6ecb086e-4a12-4871-8621-1e6d0e027cce,TOKEN_8250,618772,0,2025-05-08,False,False,2025-07-22,2025-11-30,13036.0,14990.12899,1.299828
33,e0911e54-1a3c-4e22-8223-9eb125eb2cf8,TOKEN_5512,925063,0,2025-05-30,False,False,2025-06-03,2025-06-09,30940.0,41948.40559,1.71162
34,d4e17616-fd6f-4d6d-8420-eac53627f6d2,TOKEN_7824,384866,0,2025-12-18,False,False,2025-12-12,2025-11-28,10510.0,11780.170285,1.24173
35,44e10f34-d034-4fad-960c-d0a99ae24fda,TOKEN_3924,673254,0,2025-05-29,False,False,2025-03-25,2025-05-14,35076.0,49224.34305,1.806748
36,f2b881ca-e228-45ad-a69e-185071b0255c,TOKEN_9287,776920,0,2025-12-20,False,False,2025-12-03,2025-04-28,26646.0,34810.800705,1.612858
37,bd571f48-1aa2-4c01-b111-f3de7421b457,TOKEN_4034,588783,0,2025-02-10,False,False,2025-12-26,2025-05-03,0.0,0.0,1.0
38,598e667f-f0a6-484f-9e0d-baa208870c54,TOKEN_8061,945392,0,2025-03-18,False,False,2025-11-22,2025-06-29,15942.0,18864.511353,1.366666
39,bba5d49e-8863-4d1c-a83c-44b0fbc276dd,TOKEN_1937,284108,0,2025-02-02,False,False,2025-09-09,2025-11-18,10182.0,11374.123833,1.234186
40,810c6905-187d-43eb-93ec-7454b507570a,TOKEN_4467,722204,0,2025-05-18,False,False,2025-02-16,2025-02-15,8197.0,8969.600038,1.188531
41,54f17d67-9c81-4ec4-9968-fd9c3118a23f,TOKEN_8471,403224,0,2025-03-16,False,False,2025-08-09,2025-12-13,4199.0,4401.715123,1.096577
42,c0ea83a5-f861-48b0-aaf1-03be0f1193f4,TOKEN_9034,835448,0,2025-10-28,False,False,2025-04-30,2025-03-13,23587.0,29984.714293,1.542501
43,091aa7d8-c1f4-4ebf-9660-9a8f9d0a7957,TOKEN_2844,627537,0,2025-10-02,False,False,2025-07-10,2025-05-03,11121.0,12543.15348,1.255783
44,2bb7d841-fb8f-40bb-9009-bb63ffab9528,TOKEN_7690,888182,0,2025-08-22,False,False,2025-05-31,2026-01-01,14939.0,17505.325993,1.343597
45,4e46e581-febe-4616-be8b-e4670baacc70,TOKEN_6613,313613,0,2025-02-23,False,False,2025-01-19,2025-05-02,36671.0,52135.344055,1.843433
46,c0a59b98-2b64-4af9-b55b-a8e95edee24f,TOKEN_1763,732168,0,2025-12-23,False,False,2025-02-24,2025-03-12,17163.0,20550.341169,1.394749
47,ef65f9b2-2189-4c94-b220-b608a67f7b81,TOKEN_3903,575726,0,2025-01-15,False,False,2025-09-01,2025-03-12,35710.0,50374.436485,1.82133
48,3380224a-6504-4225-bbd4-3d160005013b,TOKEN_7550,846814,0,2025-01-30,False,False,2025-03-03,2025-04-08,0.0,0.0,1.0
49,abdae7df-e802-47e4-8400-48341e3b9e8f,TOKEN_6964,123785,0,2025-04-25,False,False,2025-01-31,2025-07-13,0.0,0.0,1.0
50,12217513-69b8-4046-b52f-e26c2dae9d18,TOKEN_4563,314196,0,2025-04-25,False,False,2025-11-24,2025-05-18,19873.0,24414.536944,1.457079
51,5f08e39d-a1b7-4f24-b1e4-0ad14cc585a9,TOKEN_9149,605044,0,2025-08-08,False,False,2025-09-03,2025-12-24,12545.0,14354.69152,1.288535
52,9e9cf675-32fb-4649-a9f0-adae7d298ba9,TOKEN_9496,674527,0,2025-08-12,False,False,2025-12-20,2025-11-16,22160.0,27806.99956,1.50968
53,d7b5b786-e157-430c-9b39-34d7dc3750a9,TOKEN_2462,304907,0,2025-09-03,False,False,2025-09-26,2025-11-28,12182.0,13888.472833,1.280186
54,89dcb07b-9b82-4a2b-9e30-8c618a0d0e98,TOKEN_4119,727285,0,2025-09-04,False,False,2025-06-29,2025-06-18,35624.0,50217.888148,1.819352
55,07096c9d-45cb-4b59-8eef-972c5c896f24,TOKEN_8079,319876,0,2025-02-10,False,False,2025-05-14,2025-09-28,18583.0,22554.057019,1.427409
56,ef64ce8d-b2c1-4956-b230-e917dfab193a,TOKEN_2664,685498,0,2025-03-24,False,False,2025-11-02,2025-07-20,3330.0,3457.484055,1.07659
57,58de9b0d-4a6b-4f47-b964-6d870f7ac9b2,TOKEN_6921,428146,0,2025-01-06,False,False,2025-11-05,2025-04-02,25832.0,33505.563508,1.594136
58,34668230-bc49-4101-85f5-2682da581b37,TOKEN_3518,591963,0,2025-01-07,False,False,2025-10-05,2025-08-17,21313.0,26536.560544,1.490199
59,4f248cfa-e7b4-4eb3-af64-debb7d905e5b,TOKEN_5979,947233,0,2025-08-26,False,False,2025-11-18,2025-03-26,4526.0,4761.521725,1.104098
60,091a660b-d893-4d01-8e2a-213d44517cd4,TOKEN_5187,136795,0,2025-03-08,False,False,2025-12-28,2025-12-05,14392.0,16773.825628,1.331016
61,9949e21a-9642-440b-a221-1f36996c5a21,TOKEN_8595,153180,0,2025-10-05,False,False,2025-01-27,2025-07-01,6347.0,6810.197713,1.145981
